id,chain_len,distances
54641,11,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0]"
47802,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47797,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47846,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47815,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47518,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47700,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47702,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47712,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47792,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
5502,10,"[547, 142, 25, 1, 379, 7, 137, 2, 297]"
5510,10,"[830, 332, 260, 5, 36, 33, 38, 38, 2]"
5514,8,"[830, 332, 448, 339, 69, 41, 209]"
5517,13,"[180, 123, 104, 152, 11, 12, 124, 6, 0, 0, 5, 7]"
5519,3,"[138, 35]"
5538,33,"[275, 47, 1, 46, 44, 25, 51, 1, 0, 2, 2, 0, 6, 0, 0, 6, 45, 5, 2, 4, 2, 56, 2, 15, 0, 8, 5, 19, 44, 20, 4, 1]"
5546,26,"[275, 47, 1, 46, 44, 25, 51, 1, 0, 2, 2, 0, 6, 0, 0, 6, 45, 0, 1, 1, 1, 3, 0, 4, 1]"
5559,25,"[303, 0, 395, 55, 3, 50, 60, 49, 1, 6, 7, 996, 59, 34, 51, 3, 31, 19, 4, 55, 7, 24, 136, 62]"
5619,3,"[303, 1772]"
5570,3,"[303, 1772]"
5627,11,"[239, 0, 54, 3, 1, 0, 3, 5, 1, 0]"
5658,42,"[303, 431, 4, 84, 24, 2, 94, 0, 2, 25, 33, 114, 1, 40, 11, 1, 1, 1, 1, 13, 1, 1, 1, 1, 1, 65, 2, 16, 2, 7, 5, 74, 4, 1, 19, 2, 14, 110, 13, 28, 2]"
5696,101,"[303, 719, 32, 1, 1, 149, 442, 0, 5, 211, 34, 100, 4, 8, 116, 948, 1140, 70, 315, 389, 830, 2, 2, 2, 90, 2, 2, 2, 187, 44, 91, 11, 590, 66, 2, 86, 0, 0, 4, 21, 6, 26, 54, 26, 2, 4, 6, 674, 0, 4, 4, 8, 8, 13, 3, 1, 741, 1, 4, 4, 32, 28, 642, 592, 2, 1478, 2, 2, 1416, 4, 482, 9, 10, 1, 2, 2, 572, 2, 2, 2, 1, 479, 131, 24, 1142, 443, 0, 0, 0, 1, 1, 107, 208, 200, 146, 51, 0, 250, 8, 155]"
5712,11,"[303, 2, 554, 1160, 0, 106, 20, 1, 0, 0]"
5711,21,"[303, 2, 554, 1160, 0, 106, 20, 1, 0, 7, 1, 269, 0, 0, 22, 0, 21, 21, 4, 0]"
5721,5,"[273, 764, 39, 32]"
5727,8,"[275, 197, 16, 0, 4, 35, 0]"
5769,8,"[2623, 0, 276, 187, 244, 0, 1]"
6519,23,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0]"
6508,24,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0]"
6496,25,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0, 0]"
5919,23,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0]"
5939,23,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0]"
5972,24,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0]"
6036,24,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0]"
6122,27,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0, 0, 0, 0]"
5777,25,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 3, 0, 6]"
5779,4,"[484, 0, 25]"
5785,13,"[180, 123, 104, 152, 11, 12, 0, 12, 0, 0, 4, 3]"
5793,3,"[484, 128]"
5794,3,"[303, 3061]"
5800,107,"[303, 719, 32, 1, 1, 149, 442, 0, 5, 211, 34, 100, 4, 8, 116, 948, 1140, 70, 315, 389, 830, 2, 2, 2, 90, 2, 2, 2, 187, 44, 91, 11, 590, 66, 2, 86, 0, 0, 4, 21, 6, 26, 54, 26, 2, 4, 6, 674, 0, 4, 4, 8, 8, 13, 3, 1, 741, 1, 4, 4, 32, 28, 642, 592, 2, 1478, 2, 2, 1416, 4, 482, 9, 10, 1, 2, 2, 572, 2, 2, 2, 1, 479, 131, 24, 1142, 443, 0, 0, 0, 1, 1, 107, 208, 200, 146, 51, 14, 0, 4, 12, 14, 2, 8, 38, 0, 2]"
