file1,file2
data/spec/10173.smt2,data/spec/10878.smt2
data/spec/10173.smt2,data/spec/10880.smt2
data/spec/10173.smt2,data/spec/11090.smt2
data/spec/10173.smt2,data/spec/11840.smt2
data/spec/10173.smt2,data/spec/29016.smt2
data/spec/10173.smt2,data/spec/29086.smt2
data/spec/10173.smt2,data/spec/29822.smt2
data/spec/10173.smt2,data/spec/29823.smt2
data/spec/10173.smt2,data/spec/29833.smt2
data/spec/10173.smt2,data/spec/9086.smt2
data/spec/10173.smt2,data/spec/9162.smt2
data/spec/10173.smt2,data/spec/9197.smt2
data/spec/10175.smt2,data/spec/10177.smt2
data/spec/10175.smt2,data/spec/10844.smt2
data/spec/10175.smt2,data/spec/10845.smt2
data/spec/10175.smt2,data/spec/10858.smt2
data/spec/10175.smt2,data/spec/10860.smt2
data/spec/10175.smt2,data/spec/10878.smt2
data/spec/10175.smt2,data/spec/10880.smt2
data/spec/10175.smt2,data/spec/11090.smt2
data/spec/10175.smt2,data/spec/11840.smt2
data/spec/10175.smt2,data/spec/29016.smt2
data/spec/10175.smt2,data/spec/29086.smt2
data/spec/10175.smt2,data/spec/29822.smt2
data/spec/10175.smt2,data/spec/29823.smt2
data/spec/10175.smt2,data/spec/29833.smt2
data/spec/10175.smt2,data/spec/9086.smt2
data/spec/10175.smt2,data/spec/9162.smt2
data/spec/10175.smt2,data/spec/9197.smt2
data/spec/10177.smt2,data/spec/10844.smt2
data/spec/10177.smt2,data/spec/10845.smt2
data/spec/10177.smt2,data/spec/10858.smt2
data/spec/10177.smt2,data/spec/10860.smt2
data/spec/10177.smt2,data/spec/10878.smt2
data/spec/10177.smt2,data/spec/10880.smt2
data/spec/10177.smt2,data/spec/11090.smt2
data/spec/10177.smt2,data/spec/11840.smt2
data/spec/10177.smt2,data/spec/29016.smt2
data/spec/10177.smt2,data/spec/29086.smt2
data/spec/10177.smt2,data/spec/29822.smt2
data/spec/10177.smt2,data/spec/29823.smt2
data/spec/10177.smt2,data/spec/29833.smt2
data/spec/10177.smt2,data/spec/9086.smt2
data/spec/10177.smt2,data/spec/9162.smt2
data/spec/10177.smt2,data/spec/9197.smt2
data/spec/10178.smt2,data/spec/10846.smt2
data/spec/10178.smt2,data/spec/10849.smt2
data/spec/10178.smt2,data/spec/29824.smt2
data/spec/10178.smt2,data/spec/29831.smt2
data/spec/10178.smt2,data/spec/29834.smt2
data/spec/10178.smt2,data/spec/9165.smt2
data/spec/10178.smt2,data/spec/9198.smt2
data/spec/10178.smt2,data/spec/9201.smt2
data/spec/10187.smt2,data/spec/10188.smt2
data/spec/10187.smt2,data/spec/10194.smt2
data/spec/10188.smt2,data/spec/10194.smt2
data/spec/10192.smt2,data/spec/10195.smt2
data/spec/10196.smt2,data/spec/9642.smt2
data/spec/10196.smt2,data/spec/9647.smt2
data/spec/10196.smt2,data/spec/9652.smt2
data/spec/10737.smt2,data/spec/13415.smt2
data/spec/10737.smt2,data/spec/13575.smt2
data/spec/10737.smt2,data/spec/14254.smt2
data/spec/10737.smt2,data/spec/9648.smt2
data/spec/10785.smt2,data/spec/10786.smt2
data/spec/10789.smt2,data/spec/12686.smt2
data/spec/10794.smt2,data/spec/10801.smt2
data/spec/10795.smt2,data/spec/17410.smt2
data/spec/10795.smt2,data/spec/23267.smt2
data/spec/10795.smt2,data/spec/23372.smt2
data/spec/10795.smt2,data/spec/23374.smt2
data/spec/10795.smt2,data/spec/23415.smt2
data/spec/10795.smt2,data/spec/23590.smt2
data/spec/10795.smt2,data/spec/23648.smt2
data/spec/10795.smt2,data/spec/24149.smt2
data/spec/10795.smt2,data/spec/4737.smt2
data/spec/10795.smt2,data/spec/4804.smt2
data/spec/10795.smt2,data/spec/5033.smt2
data/spec/10795.smt2,data/spec/5038.smt2
data/spec/10795.smt2,data/spec/5043.smt2
data/spec/10795.smt2,data/spec/5169.smt2
data/spec/10795.smt2,data/spec/5170.smt2
data/spec/10795.smt2,data/spec/5174.smt2
data/spec/10795.smt2,data/spec/5181.smt2
data/spec/10795.smt2,data/spec/5236.smt2
data/spec/10795.smt2,data/spec/5339.smt2
data/spec/10795.smt2,data/spec/5441.smt2
data/spec/10795.smt2,data/spec/5489.smt2
data/spec/10795.smt2,data/spec/5530.smt2
data/spec/10795.smt2,data/spec/5614.smt2
data/spec/10795.smt2,data/spec/5618.smt2
data/spec/10795.smt2,data/spec/5930.smt2
data/spec/10795.smt2,data/spec/5931.smt2
data/spec/10795.smt2,data/spec/5980.smt2
data/spec/10795.smt2,data/spec/6079.smt2
data/spec/10795.smt2,data/spec/6314.smt2
data/spec/10796.smt2,data/spec/5167.smt2
data/spec/10796.smt2,data/spec/5168.smt2
data/spec/10796.smt2,data/spec/5308.smt2
data/spec/10796.smt2,data/spec/5396.smt2
data/spec/10796.smt2,data/spec/5786.smt2
data/spec/10796.smt2,data/spec/5840.smt2
data/spec/10796.smt2,data/spec/5843.smt2
data/spec/10796.smt2,data/spec/5845.smt2
data/spec/10796.smt2,data/spec/5891.smt2
data/spec/10796.smt2,data/spec/6034.smt2
data/spec/10796.smt2,data/spec/6044.smt2
data/spec/10796.smt2,data/spec/6046.smt2
data/spec/10796.smt2,data/spec/6048.smt2
data/spec/10796.smt2,data/spec/6057.smt2
data/spec/10796.smt2,data/spec/6423.smt2
data/spec/10797.smt2,data/spec/11170.smt2
data/spec/10797.smt2,data/spec/5080.smt2
data/spec/10797.smt2,data/spec/6065.smt2
data/spec/10798.smt2,data/spec/10800.smt2
data/spec/10798.smt2,data/spec/10802.smt2
data/spec/10798.smt2,data/spec/11171.smt2
data/spec/10798.smt2,data/spec/11175.smt2
data/spec/10800.smt2,data/spec/10802.smt2
data/spec/10800.smt2,data/spec/11171.smt2
data/spec/10800.smt2,data/spec/11175.smt2
data/spec/10802.smt2,data/spec/11171.smt2
